o_hex,d_hex,trips
872a8b102ffffff,872a8bc28ffffff,1
872a8b102ffffff,872a8bc2affffff,5
872a8b102ffffff,872a8bc2bffffff,1
872a8b102ffffff,872a8bc2effffff,3
872a8b102ffffff,872a8bc41ffffff,2
872a8b102ffffff,872a8bc49ffffff,150
872a8b102ffffff,872a8bc4affffff,2
872a8b102ffffff,872a8bc4effffff,27
872a8b102ffffff,872a8bc50ffffff,1
872a8b104ffffff,872a8bc41ffffff,210
872a8b104ffffff,872a8bc4effffff,3
872a8b104ffffff,872a8bc50ffffff,6
872a8b110ffffff,872a8bc2bffffff,2
872a8b110ffffff,872a8bc41ffffff,7
872a8b110ffffff,872a8bc44ffffff,1
872a8b110ffffff,872a8bc4affffff,1
872a8b110ffffff,872a8bc4effffff,10
872a8b110ffffff,872a8bc51ffffff,3
872a8b112ffffff,872a8bc4effffff,1
872a8b113ffffff,872a8bc4affffff,5
872a8b113ffffff,872a8bc4effffff,7
872a8b114ffffff,872a8bc2affffff,1
872a8b114ffffff,872a8bc2effffff,2
872a8b114ffffff,872a8bc40ffffff,5
872a8b114ffffff,872a8bc41ffffff,30
872a8b116ffffff,872a8b116ffffff,1
872a8b116ffffff,872a8bc48ffffff,2
872a8b116ffffff,872a8bc4affffff,1
872a8b116ffffff,872a8bc4effffff,12
872a8b11effffff,872a8bc4affffff,101
872a8b11effffff,872a8bc4effffff,12
872a8b11effffff,872a8bc50ffffff,5
872a8b11effffff,872a8bc52ffffff,1
872a8b12affffff,872a8bc2affffff,1
872a8b12affffff,872a8bc41ffffff,1
872a8b12affffff,872a8bc4effffff,9
872a8b130ffffff,872a8bc4effffff,1
872a8b132ffffff,872a8bc4effffff,78
872a8b134ffffff,872a8bc4affffff,1
872a8b135ffffff,872a8bc4effffff,4
872a8b135ffffff,872a8bc50ffffff,8
872a8b135ffffff,872a8bc51ffffff,4
872a8b136ffffff,872a8bc41ffffff,1
872a8b136ffffff,872a8bc4affffff,15
872a8b136ffffff,872a8bc4effffff,16
872a8b136ffffff,872a8bcd2ffffff,3
872a8b185ffffff,872a8bc28ffffff,1
872a8b185ffffff,872a8bc2effffff,1
872a8b185ffffff,872a8bc4effffff,1
